69.,Kanon,(2006–2007),7.5,"Animation, Comedy, Drama"
70.,Mezon Ikkoku,(1986–1988),8.2,"Animation, Comedy, Drama"
71.,Purinsesu Chuchu,(2002–2003),8.1,"Animation, Adventure, Comedy"
72.,Kôkyô shihen Eureka Sebun,(2005–2006),7.8,"Animation, Adventure, Drama"
73.,Hachimitsu to kurôbâ,(2005–2006),7.8,"Animation, Comedy, Drama"
74.,Mirai nikki,(2011–2013),7.5,"Animation, Action, Drama"
75.,Magi: The Labyrinth of Magic,(2012–2014),7.8,"Animation, Action, Adventure"
76.,Ookiku furikabutte,(2007– ),7.6,"Animation, Comedy, Drama"
77.,12 kokuki,(2002– ),8,"Animation, Adventure, Drama"
78.,Mirai shônen Konan,(1978),8.8,"Animation, Adventure, Comedy"
79.,Dragon Ball,(1995–2003),8.6,"Animation, Action, Adventure"
80.,Ôkami to kôshinryô,(2008–2009),7.9,"Animation, Adventure, Fantasy"
81.,Sôru îtâ,(2008–2009),7.8,"Animation, Action, Adventure"
82.,Ef: A Tale of Melodies.,(2008),7.5,"Animation, Drama, Mystery"
83.,Kuroshitsuji,(2008–2011),7.7,"Animation, Action, Comedy"
84.,Suzumiya Haruhi no Yûutsu,(2006–2009),7.8,"Animation, Comedy, Fantasy"
85.,Kaichou wa meido-sama!,(2010–2011),7.9,"Animation, Comedy, Romance"
86.,Azumanga daiô,(2002),8.3,"Animation, Comedy"
87.,Haibane Renmei,(2002– ),8,"Animation, Drama, Fantasy"
88.,Sword Art Online,(2012– ),7.6,"Animation, Action, Adventure"
89.,Ergo Proxy,(2006),7.9,"Animation, Action, Adventure"
90.,Kidô senshi Z Gundam,(1985–1986),8.1,"Animation, Action, Drama"
91.,Dragon Ball Kai: Doragon bôru kai,(2009–2015),8.3,"Animation, Action, Adventure"
92.,Gangureivu,(2003–2004),7.9,"Animation, Action, Crime"
93.,Kureimoa,(2007),8,"Animation, Action, Adventure"
94.,FLCL,(2000–2001),8.1,"Animation, Action, Comedy"
95.,Naruto: Shippûden,(2007–2017),8.7,"Animation, Action, Adventure"
96.,Serial Experiments Lain,(1998),8.1,"Animation, Drama, Horror"
97.,Bleach: Burîchi,(2004–2012),8.2,"Animation, Action, Adventure"
98.,Last Exile,(2003),7.9,"Animation, Action, Adventure"
99.,Erufen rîto,(2004),8,"Animation, Action, Drama"
100.,Wolf's Rain,(2003–2004),7.9,"Animation, Action, Adventure"
